x,y,f_{1} = 112.5,f_{2} = 170,f_{3} = 234,f_{4} = 286.5,f_{5} = 382,f_{6} = 502,f_{7} = 686,f_{8} = 737.5,f_{9} = 841,f_{10} = 994,f_{11} = 1206,f_{12} = 1382.5
-0.178,-0.211328,0.000347704937233433+0.000381005268106507i,0.000249056263028204+0.000491426138366435i,-2.96457926425935e-05+0.000708495149606787i,3.89704447688072e-05+0.00109346627865701i,-0.00277307057277608+0.00127130633486903i,-0.00281076081111836-0.00224335470622613i,-0.00662645272156526-0.000538165156934627i,-0.0110643173856574+0.000886388963274824i,-0.00419112644631344-0.000765368467576965i,-0.0171959396536165-0.00910521954295112i,-0.0106247358802635-0.0125392103669781i,-0.0164520764229698-0.0256899124718772i
-0.178,-0.152470857142857,0.000549700189855037+0i,0.000254108855574415+0.000588660660577191i,-0.000138464142841231+0.000840148574010112i,-5.96266771503055e-05+0.00123029991970129i,-0.00562839595842252-0.00354195290406163i,-0.00256431412705161-0.00316157660581462i,-0.00744149109579262-0.00468354316606345i,-0.0121041784213527-0.00378641050581268i,-0.00214672418625609-0.00385685880840063i,-0.00622110025089391-0.00792338695707084i,0.00592017433284558-0.0201571262917491i,0.00618258295952221-0.0328335844985931i
-0.178,-0.0936137142857143,0.000239462291076642+0.000696369074543525i,0.000146375255475265+0.000632472837588729i,-0.000193429480499812+0.000756755842394662i,1.72388224611015e-05+0.000865681781888541i,-0.0121973153353432-0.0122429632110786i,-0.00304705370971157-0.00143825324152233i,-0.00581892991404556-0.00434303800414081i,-0.0106137161551019-0.00410491903369867i,-0.00248701583625952-0.00375504866610423i,0.00836188515038938-0.00542506491097664i,0.0100396801538705-0.0194182292777711i,0.00878277103560069-0.022746631623668i
-0.178,-0.0347565714285714,0.000373022704741902+0.000500770818693686i,0.000198183875674575+0.000610761231796804i,-0.000179045607373379+0.000675969500552612i,-0.000480549417416819+0.000203902688127323i,-0.0171840094523499-0.0139726412720049i,-0.00358709737925379-0.0021973718245261i,-0.00351584601589167-0.00310751369292239i,-0.00338873421596189-0.00538503221267625i,-0.00116963862447738-0.00294927683625046i,0.000279683786320507-0.00740191140447275i,0.0147414120210419-0.0218636040106776i,0.00123470700766042-0.00728975638494757i
-0.178,0.0241005714285714,0.000521274782011228+0.000419047697918171i,0.00019208300556543+0.000504443186044035i,-0.000156162542016256+0.00054731670679032i,-0.0011192914616511+0.000273354051830154i,-0.0128664390232085-0.00591541260737715i,-0.00301785294926293-0.0028802708575851i,-0.00115605921229725-0.00294331708532008i,0.00341997653542984-0.00719802577507082i,-0.000881392784197077-0.00476374136592572i,-0.0168066488040077-0.0247022572985097i,0.0126281889042699-0.0321507802931153i,-0.00409203505883506-0.00350605976781832i
-0.178,0.0829577142857143,0.000549587803898169+0.000660977708954516i,0.000126836654863509+0.00056900893371523i,-0.000187190361335194+0.000657067902371328i,-0.0015341969528431+0.000887065114501743i,-0.0092803781433125+0.00169865834226622i,-0.0024902456224988-0.00244913057577451i,-0.000998190191289542-0.00207540088178734i,0.00512807296131253-0.00722628987651693i,-0.000480368063515827-0.00488448229168274i,-0.0404228728025001-0.0352506495709368i,0.00974290598035416-0.0276114335305576i,-0.0110859389066052-0.00773853756315855i
-0.178,0.141814857142857,0.000543766483683156+0.000584911930788469i,0.000181219140358064+0.000520455075186234i,-0.000101897760971133+0.0006242034367435i,-0.000758120079780771+0.00098048642639122i,-0.00469692982359028+0.00695349348365068i,-0.000419642289938646-0.000866309162317282i,-0.0012714663532093-0.000976672781446428i,0.00788405843279908-0.00779272145174378i,-0.000407098896422022-0.00255093131373798i,-0.0323275286136439-0.0424063116123674i,-0.000343057047414729-0.0188054671846705i,-0.00837417990586657-0.011648258068141i
-0.178,0.200672,0.000204758402743958+0.000391068827228986i,8.00644341347752e-05+0.000320355908868824i,-0.000168242298218054+0.000378879674176788i,0.000369651959257915+0i,-0.00553115102500251+0.0042674986999685i,8.44602250945688e-05-0.00130942977574008i,-0.00115099943727238-0.000629885616360918i,0.00592751705657799-0.00444812546581529i,-0.000130997521239389-0.00173483970948175i,-0.0216317511273111-0.0303806577270438i,-0.00529423614155632-0.0134251761916221i,-0.00274948592549329-0.00804677585277115i
-0.126,-0.211328,0.00130746632546418+0i,0.000537782851940238+0.0013102501661896i,0.001651040538748+0i,0.000792326779120651+0.00382649978979303i,0.00594255794048177+0.0123466992458417i,-0.00371308180483146-0.00887912518255809i,-0.0121581451967092-0.00564327328576724i,-0.022978724079975-0.00409518201592278i,-0.00497821702219733-0.00522760310812112i,-0.0181296797680354-0.0361489509520467i,-0.00114288458461435-0.0346206143038359i,-0.00148550757886329-0.0505261389845929i
-0.126,-0.152470857142857,0.00138709388587635+0.00167414936728657i,0.000823815104075423+0.00226958396367893i,-0.000225278986932027+0.00326317674800742i,0.000545992307231498+0.00665417053895017i,0.00266996827016195+0.0141595190374492i,-0.00347549296229112-0.0142993780189635i,-0.0168539164833188-0.0162236388468589i,-0.0288244425201143-0.014552677124056i,-0.00094828872927961-0.0111786161408874i,-0.00180399415226531-0.0435201528093872i,0.0333534260190228-0.0292190478296624i,0.0492526206097919-0.0575731186966972i
-0.126,-0.0936137142857143,0.00129887646162852+0.00228938854919583i,0.0007686416470147+0.00222863039572729i,-0.000390526326849598+0.00250308752553802i,0.00233586850911182+0.00467504902023327i,-0.0331042030502471-0.0337514984855698i,-0.00951803180522199+4.52842580194799e-06i,-0.0152420523737832-0.0157486015396339i,-0.0250165292941865-0.0146737401674433i,-0.000543991648986163-0.00969194637219308i,0.0091967071297707-0.0190384691760947i,0.0305518392800739-0.0212086053042827i,0.0397430636072062-0.0263653394447693i
-0.126,-0.0347565714285714,0.000914334372986929+0.00145086395616275i,0.00150427014920853+0i,-0.00035785434339791+0.00143198728534157i,-0.000882809767040533-0.00106679405168807i,-0.0445495691111646-0.055367246947167i,-0.00776053844592749-0.00168760185607052i,-0.00478801200986593-0.00839768591418581i,-0.00328945982743551-0.00923608360487092i,-0.00144180084259305-0.00872244316900335i,-0.00156153038232086-0.0208014951934802i,0.0348358389173307-0.0175580097053091i,0.00649052965004292+0.0116587993554252i
-0.126,0.0241005714285714,0.00127684456373713+0.00136266039035609i,0.000419240804046344+0.00128381437167574i,-0.00026210790854755+0.0012142126013189i,-0.00399009418228405-0.00011150793442593i,-0.0276540953187552-0.0261351367426299i,-0.00585736414737199-0.00572542843806065i,0.00237356716006216-0.00776235770823001i,0.0101839594922256-0.0142215491652877i,0.00347115517104998-0.0100716666202906i,-0.0143970866418158-0.0599788204421254i,0.0402976568770428-0.0319907102081693i,-0.0078742247084645+0.00496203252309013i
-0.126,0.0829577142857143,0.00197172991082741+0.00188455563190653i,0.000492617550160112+0.00171135762325193i,-0.000202982730534255+0.00180716729080634i,-0.00695908576787603+0.00166492944158938i,-0.00510366745297544+0.0105128034204041i,-0.00415282635820182-0.00664837994248901i,0.00188194976878182-0.00472015782986719i,0.0199806698020589-0.0150360755194454i,0.00433530888234824-0.0128452422585793i,-0.0394437929381389-0.115357399573488i,0.0349063148434778-0.0381590812554337i,-0.00606578485465063-0.0223991531196409i
-0.126,0.141814857142857,0.00166315697760312+0.00153031943952349i,0.000499313492533371+0.00145626582234743i,-0.000110613315910004+0.00173577864108993i,-0.00318275874135731+0.00289995654241819i,0.00797554338531828+0.0247008900176621i,-0.00233585989268591-0.00365227917906691i,-0.00249616167894386-0.0015594853750332i,0.0233881578447801-0.0120730550559661i,0.00263493354346732-0.00833480977516168i,-0.0335409797783537-0.110806176757109i,0.00639541842063492-0.0366568761023633i,0.00399947516592852-0.0208773189001983i
-0.126,0.200672,0.000769523443931481+0.00763309247895987i,-0.00301330978716035+0.00349453483965596i,-0.00321657761519293+0.00212861471898628i,0.0116446280414395+0.0117926612795974i,-0.203112878766681+0.0225761341696289i,-0.000199140116389745+0.013993834710691i,0.0124669041017749+0.0136338208317463i,-0.0321644375656686-0.00897661972707343i,-0.00346353729006551-0.00524398058055196i,-0.0234263552844424-0.0636510419190132i,0.00310115314401989-0.0231324713612961i,0.00186538086094297-0.00675126683985271i
-0.076,-0.211328,0.00333846652778514+0i,0.0036771401439522+0i,0.00435763608497528+0i,0.00118218303050645+0.0142811300266962i,0.0306625238191935+0.0616240711322698i,-0.00275929246983773-0.0240443902083199i,-0.020677100849264-0.0164494821565578i,-0.0454617609838372-0.0169075241520704i,-0.0044111123471162-0.010322214581077i,0.00741106840661153-0.1056951105064i,0.0309806787450504-0.0764689801653643i,0.0298522367105613-0.0624721443322847i
-0.076,-0.152470857142857,0.00758607461710531+0i,0.00273975898807532+0.00748446683032078i,0.00906082659132878+0i,0.000647346473140691+0.0212540698686483i,-0.00425765091993942+0.0315448236657495i,-0.0116422443343727-0.0537020395908698i,-0.0500091829579727-0.0635119190998205i,-0.103657218510539-0.0631759222828767i,0.00188682867946591-0.0261875323920204i,0.0930978924390417-0.171633104674061i,0.114028656527498-0.0258512837661369i,0.164361139242163-0.0915566427782138i
-0.076,-0.0936137142857143,0.0051440326477763+0.00795221179108349i,0.00783601018754479+0i,-0.000902660063276797+0.007616037166634i,0.0172239119591522+0.0126596103719873i,-0.178628675327394-0.263700564556917i,-0.0478001499522253+0.0100288907645622i,-0.0543767323151099-0.0683066688698012i,-0.100090949101242-0.068759716502116i,0.00205672614173985-0.021613274323907i,0.0277073515726399-0.0636443865816076i,0.0636314393413094-0.0037084352160893i,0.0675675977498575+0.0241631565714872i
-0.076,-0.0347565714285714,0.00467810333937643+0i,0.00400399158541918+0i,0.00313323789852676+0i,0.00195275812269884-0.00722781790542933i,-0.178582140764812-0.263893603128236i,-0.0261880078630093-0.00228253725118546i,-0.00644398428556433-0.0210379043825972i,-0.00942283993833947-0.0296374723832711i,0.00544289660187205-0.014210454464153i,-0.0605234320887123+0.0445274773034065i,0.0464981129054348+0.0140472703383515i,-0.0187054715728616+0.0770343845147882i
-0.076,0.0241005714285714,0.00240014186175527+0.00377943177127415i,0.00161438399950164+0.00404925022203341i,0.00310665334787457+0i,-0.0170588813909966-0.00579519312911113i,-0.103317668668418-0.12977501473426i,-0.0177637038985609-0.0215416287248233i,0.0234039844985014-0.0225635424710678i,0.0285792695277468-0.0334136967492196i,0.0163518239058196-0.0214633998766114i,-0.00410635711253886-0.110247181433065i,0.0971252822484762-0.00970897080547888i,-0.0328822530348116-0.0123799506116914i
-0.076,0.0829577142857143,0.0107212811120413+0.00536836021742213i,0.00245756750084496+0.00689361563682185i,0.00685513736071011+0i,-0.0353440031534227+0.00753826112423165i,0.0032706216935828+0.0713233910664924i,-0.0129856682867173-0.0301776254390214i,0.0168411268544761-0.0122428291759017i,0.0774171053126998-0.0398318695452883i,0.024965090372935-0.038067142381202i,0.0593904616432433-0.357566421166054i,0.060169558591757-0.077707554673011i,0.0221754473306341-0.0544459848565834i
-0.076,0.141814857142857,0.00923694818387832+0.00409800888268285i,0.00212935133979042+0.00646847039453639i,-0.00033094488724727+0.0074057090710495i,-0.00946170589782974+0.014574941925317i,0.0894929604399313+0.139777687194313i,-0.00275426891535515-0.0158994821614735i,-0.0187634648185378+0.00916425359041424i,0.0887954803134128-0.00984687765109691i,0.0133349078501384-0.022698899265549i,0.0244053614332529-0.285034589769282i,0.0730749421203108-0.0587143514784773i,0.0409951869090959-0.00958300224886885i
-0.076,0.200672,0.0021298333656988+0.00138144944544064i,0.000516879096360348+0.00196141514008488i,0.00231441450728117+0i,0.000825052663752897+0.00515632720698925i,0.0119240420372211+0.0321507694496019i,-0.00160172378992867-0.0016310180011517i,-0.00291887576972435-0.00159361967951545i,0.0210190856786951-0.00740062105479071i,0.0044804589035333-0.00795209592196219i,-0.00450548518305742-0.109284734471016i,0.0276292434610508-0.0272218000715576i,0.0229382499373435-0.00270396089608077i
-0.027,-0.211328,0.00558060954317285+0i,0.00205314076050882+0.00727860014265046i,-0.000447101826176418+0.00683025198331494i,-0.00758081644121724+0.0176112515702193i,0.0159158814818099+0.0521614554939605i,-0.0184220509892339+0.0358149424290489i,-0.0332616918624237-0.0218146321978291i,-0.0459383760501379-0.0183354055065016i,-0.00603854172191714-0.023405944047643i,0.0146560573699458-0.150173488486112i,0.0947891859681586-0.104463819658568i,0.0545758049378788-0.0535123459803793i
-0.027,-0.152470857142857,0.0107234830720372+0i,0.00259297140329553+0.0115756344071028i,0.000298455640269881+0.0104849467912021i,-0.00105775220376509+0.018090459200092i,-0.157344236929326-0.204589407992944i,-0.041935737746255-0.00369532090353889i,-0.0934565751382028-0.12312860125545i,-0.159691447526071-0.11218139231544i,0.00919954387537455-0.0586994181593286i,0.174500342752019-0.271535020029989i,0.238693436605284-0.0676797886635964i,0.0808801247153561+0.057103841905598i
-0.027,-0.0936137142857143,0.0122137274041356+0i,0.010382153559737+0i,0.00690746365213193+0i,0.00946262456626534-0.00807573604019107i,-0.546899347023519-0.886351059994614i,-0.0597615330723918-0.0374573218729579i,-0.110715632716621-0.137347045605972i,-0.180222903440256-0.119880212782906i,0.0154372422404324-0.0437710462090138i,-0.127040422890792+0.029914419464827i,-0.072105679777243-0.132517413669349i,-0.063508689923707+0.208292063994088i
-0.027,-0.0347565714285714,0.0111382506422989+0i,0.008472114681545+0i,0.00361463076867243+0i,-0.000538582072592382-0.0160053024545154i,-0.603448807664392-0.959008069388914i,-0.0630829033646602-0.0613222978095237i,-0.0102752444822666-0.0498306963296612i,0.00265584514897709-0.0477520094341245i,0.033628718689892-0.0229456324873722i,-0.280001602505506+0.270048181988216i,-0.104054078588804-0.0817194618352485i,-0.097303593881823+0.125407470381758i
-0.027,0.0241005714285714,0.00635402350127516+0.00935131096507493i,0.00921157198570242+0i,0.00449149868002483+0i,-0.0297203712572213-0.0264022143614061i,-0.496910825325035-0.726374461752301i,-0.0579294739774113-0.101795817695174i,0.0714608594267803-0.0293820083722418i,0.176287679357909-0.0556457607520476i,0.0626192491250881+0i,-0.0573282362243735-0.144569895183831i,-0.0749856655355615-0.127318733998366i,-0.0786543467012471-0.126169391164798i
-0.027,0.0829577142857143,0.00904920705229903+0.011587555605243i,0.0141991685321567+0i,0.0115872305927914+0i,-0.0268470300736149+0.00726464981945509i,-0.185651897834349-0.162225534388367i,-0.0407349684533445-0.0892959670648416i,0.0711955135922364-0.0106679490299403i,0.27187317864197-0.071820591124139i,0.0762014485189111-0.0808134388720335i,0.281403702138545-0.746554123311872i,0.107467763399202-0.0228142121196261i,0.0459817361516196-0.0394276053593169i
-0.027,0.141814857142857,0.0117644357921551+0.0111933575871368i,0.00487982902486482+0.0144566640376649i,0.0152605020763573+0i,0.011294817317226+0.0376783236428975i,0.0462678590634131+0.109569587056406i,-0.0182689207798836-0.0231664276736403i,0.0206912386467369-0.010961072012127i,0.126960133281677-0.0563329660528575i,0.0372470399493319-0.0547808976293791i,0.153705964870952-0.656475734167956i,0.0687411222207522-0.0185854735114071i,0.126896879392499+0.0895498364458522i
