x,y,f_{1} = 112 Hz,f_{2} = 187 Hz,f_{3} = 286 Hz,f_{4} = 376 Hz,f_{5} = 499 Hz,f_{6} = 684 Hz,f_{7} = 731 Hz,f_{8} = 842 Hz,f_{9} = 985 Hz,f_{10} = 1197 Hz,f_{11} = 1373 Hz
-0.077,0.123,0.000486456088651885-0.000429616453462782i,4.81558963140812e-05-0.000299577291301021i,-0.000640187859316795-0.000621955810860069i,-0.00878428954688239-0.00247919959973781i,0.00243331998103248-0.00150690871227342i,-0.000163152424639017-0.000344338207237514i,-0.000979254838239155-5.71416379035966e-05i,0.000185599534807172-2.73671270410425e-05i,-0.00148475394247613-0.000110647652098135i,-0.000369787039149666+3.63946541629327e-05i,0.000845382161745836+0.000171908523207829i
-0.072,-0.102,-0.00102402914373961-0.00227353190516403i,4.24480847548074e-05-0.000966192678593193i,0.00777805749013144-0.00422554180597078i,-0.0497120519971087-0.00307539085940995i,4.34273293622252e-06+0.000875163899901692i,-0.00194725327068687+0.000201580087045658i,-0.00162448458126674+0.00106756070170615i,2.14551076178766e-05+0.000667930259387773i,0.00130816065971175+0.000585106229071677i,0.00633275037890399+0.000181448837752332i,-0.000419593254291993-0.000622473608555733i
-0.051,-0.121,-0.000611574510869924-0.00223237204088035i,-0.000120362513592166-0.00117000572750384i,0.00143127206246987-0.00340206140722191i,-0.025369894425069-0.00224512636713975i,0.00167310385495064+0.000563695115859385i,-0.0013896780556538+0.00198308244716035i,0.00701512074056316-0.000340404647149838i,0.00102434034664731+0i,-0.0100622309141231-0.000680422906374298i,-0.00695636203397655-0.00020524316193154i,0.000722253714882505+0i
-0.05,0.126,0.000139064522636843-0.000924323909844995i,0.000419212249774383+0i,-0.00059108172321176-0.000899075976134143i,0.00223287349819943-0.000345125191331218i,0.00150118267404205-0.00135424224217409i,-0.00105095971331208-0.00154060929320679i,-0.00371275124945672+0.00027689360131566i,0.000205965658822545+0i,-0.00608606152873575-0.000457723362988477i,-0.000321089379961987+0.000411150822115251i,0.00115702131189939+3.61502070626549e-05i
-0.048,-0.08,-0.000264095331881253-0.00180399250867042i,0.000680711706727357+0i,0.00395730287315114-0.0017572026220214i,-0.00733426906036599-0.00186019646435191i,0.00120540127914707-0.000527549015643337i,0.00128021333909535-0.000515108406633769i,0.000551780926432543-0.00100564076463983i,-0.000324676902979913-0.000921480399442737i,-0.00735689712794761+0.000500746693418913i,-0.00479394553340655+0.000231610828106813i,0.00166226810002814+0.000164553909153692i
-0.047,0.046,8.38387795740183e-05-0.0010258843272639i,0.00042666849935764-0.000681111628840445i,-0.000757481614399773+0.00234309092821583i,0.0250559390111897-0.00112282520194347i,-0.00311595887920191-0.00119894364089771i,-0.000219431158415076-0.000843982350334449i,-0.00339265619132006-0.000460489857991276i,0.001377591295683-0.000142280080850846i,0.0043965914332505-0.00258129929668847i,-0.00230475552320194-0.00151129688910175i,-0.00152274628958406+0.000389735229430873i
-0.041,-0.041,-0.000145427435467696-0.00181674348441154i,7.08914063396329e-05-0.000714838918618416i,0.00409856905769779-0.00118858424279236i,-0.00329738113908151-0.00211333180530856i,0.000123169124697229-0.0004883276996471i,0.00176387148120291-0.00164483559774364i,-0.00270124463991642-0.0013876925580906i,-0.000448217550263115-0.000420626769542801i,-0.00126616010142082+0.00114876344646142i,-0.00650923484132594+0.000285994557538187i,0.00222313362190109+7.12402552554171e-05i
-0.04,0,0.000949964206179667+0i,0.000177200631783275-0.000651225395433793i,0.00181006556629039+0.000508030521081502i,0.0180617269281922-0.000660077631544894i,-0.00179760018739804-0.0013426014921541i,0.00103237104280005-0.00131693341047373i,-0.00204674570648582-0.000942454951853836i,0.000702604410156235-0.000251237971408922i,0.00670122501610439-0.00244569429761038i,-0.00671945944848506-0.00118340512360333i,-0.00156967952701647-4.34693729166879e-05i
-0.028,0.026,0.000631517901946715+0i,0.000114522232139141-0.000176587384235881i,0.000472970059371439+0.00150976541035561i,0.0438779360112443+0.000662288872069194i,0.00111904315924913-0.0020035336408634i,0.000336081019655974+0i,0.000282693032816304-0.00029556607485259i,0.000529761817276981+1.52744093364078e-05i,0.00927321478549616-0.001582515212828i,0.000945639821051196-0.000997691863225279i,-0.000309341940219954-0.000528445607995292i
-0.026,-0.023,0.000863191591185564+0i,5.25098290006465e-05-0.000197041995098278i,0.00119489528222115+0.00141483907671663i,0.0381447207097057+0.000105363357396745i,0.00196389798920566-0.00218434662325982i,0.00144987651540681-0.000227499596106614i,0.00216555704817116-0.00107794366570126i,0.000129415877450071-0.000361435234273957i,0.00662041782357655-0.00159512652165965i,-0.00131287872308522-0.000848816463663908i,0.0010222094571117-0.000638099562090096i
0,-0.136,0.00154823046335315+0i,-0.000258701802947637-0.00173349823368055i,-0.00736613465975915-0.00219230386215149i,-0.0068918730201731+0.000645658165887023i,-0.00276749791214821+0.000755648059486688i,-4.63449979753731e-05-0.000259882915736478i,-0.00818498277694588+0.000400733682063365i,-0.000381644232449922+0.00116522185532181i,0.00277979148504894+0.00107910596942195i,0.00613296548182295+0.000743233783176078i,-0.000949405571673777-0.000622078040073183i
0,-0.119,0.00140506353917528+0i,-0.000134647898945469-0.00132500917831395i,-0.00346026917618713-0.00183402499531908i,0.00352568394882856-0.000626295622651596i,0.000305231629465882-0.000704537685314354i,0.00163578093415971-0.000694359284773996i,0.00152784645478661-0.00174259877894702i,-0.000320527363611392-0.00160051236896406i,-0.0169414859723624-0.000519774161827321i,0.0046721542461172-0.000576233357155587i,-0.00239601648398173-0.000604742401412599i
0,-0.079,0.00120768357668039+0i,-7.02115586362279e-05-0.000758163314195278i,0.000298367392287649+0i,0.0193410078011022-0.000914012027887367i,0.00309403196781948-0.00237054042092915i,0.00140215438490853+0.000391764188064047i,0.00681988399826013-0.002518087954771i,0.00167623710544658+0i,-0.0126668618217177-0.00042545383566248i,0.00460410214482513-0.000832915604236032i,-0.000462840904908774-0.0005281248984483i
0,-0.04,0.000984127896335609+0i,0.000323988684413597+0i,0.000592726486266583+0.000952649041336753i,0.0332049958288912-0.00328385626917772i,0.0036499759100693-0.00282769653847528i,0.00137665619723781+0.000471890176724101i,0.00706454106921155-0.00186570627249666i,0.00106933021749198+0i,-0.00499206682823189-0.000913730676993211i,0.00419812720899419-0.000554433020583681i,0.000847197738883229-0.00104726285201574i
0,0,0.000650419240129876+0i,6.50167926479068e-05+0i,0.000542630599067409+0.00169023881895593i,0.0554744870009608+0.00105921665021431i,0.0038388323445417-0.00331288700288523i,0.000459515932055177+0.000483275530253411i,0.00393057235308423-0.000234103382948366i,0.000245238634230561+0i,0.00976368191415488+0.000565021963088742i,0.00573586913973814+0.000362875197666978i,0.00129577973744091-0.000364327768880976i
0,0.05,0.000642134604757596+0i,0.00010499913075029+0i,0.000848030891777869+0i,0.0455812289377355+5.22048287786534e-05i,0.00223147559492818-0.00275167761984943i,-0.00115869642224895-0.00117619237923995i,-0.000188127969531092-0.000238188841733931i,-0.000283953783860817-0.000108781311336049i,0.00662120716993562-0.000518647028724343i,0.00454442052101758-0.00110108505895764i,-0.000362329750597437-0.000936375058005175i
0,0.126,0.000167915763456829+0i,-0.000246401774020003-0.000274292514469596i,0.000261235932030148-0.000110776624709284i,0.0040913970864168-0.000995575443671375i,-0.00107006211831659+0.000575597809580977i,-0.000548610365554742-0.000401435692465488i,-0.000256473846781114-2.34532132453611e-05i,-0.000421295595245407-0.000183434683968143i,-0.000673754588989216+0.000221143230741868i,-0.000657863075419501+0.000477321341261672i,-0.000741225239464764-0.000162300074128749i
0.027,-0.027,8.84586573441997e-05-0.0009164770319558i,0.000142135027835408+0i,0.00187099897033765+0.0016959312445114i,0.0462103126801546+0.000600625910989195i,0.00342818647547512-0.00324651492879595i,0.00139606435062481-2.35283709481224e-05i,0.0036962204198176-0.00159550467435954i,0.000314747692759311-0.000459699116082705i,0.00762377081130207-0.00118998313925642i,0.00084856575056575+8.70754945482665e-05i,0.0012969526533687-0.000803932698116083i
0.027,0.028,0.000703943531906741+0i,0.000131683079636265-0.000206017877495834i,0.000944451849583464+0.0011845092511012i,0.0454162563120844+0.000387110146244503i,0.00171419809696087-0.00233413749069459i,0.000347760342292346-0.000600754036181507i,0.000347760342292346-0.000600754036181507i,0.000350654086970559-0.000132750585102151i,0.00845948729694406-0.00154902287274429i,0.00126849116243061-0.00132409743411384i,-0.000688451041758888-0.000699298606177638i
0.04,-0.041,0.000347897854998042-0.00163352084016808i,7.15610128385085e-05-0.00082658229203899i,0.00458301724385027-0.00181634295603541i,-0.00388220684708561-0.0019514300552258i,0.00160515739096506-0.00122871747280326i,0.00183216417311803-0.00172491506801775i,-0.00120931644516929-0.00187586283805569i,-0.000483236587586833-0.000373271169233484i,-0.000913895930483174-0.00162364381100748i,-0.00780269536535896+0.000736693387886964i,0.00194074217906074+0.00029159380661954i
0.042,0,0.000800720417877729+0i,0.000171918284330997-0.000522340315601576i,0.00158541967689573-0.00128161168543042i,0.0135612401469353-0.000708962120186145i,-0.00126716546174303-0.00119137151399703i,0.000719448009273508-0.00116912406992883i,-0.00144155602168848-0.00100783013766374i,0.000818545208370539-0.000204891748271663i,0.00380264478697966-0.00143640505928845i,-0.00511791880568904+0.000263393469571656i,-0.00133389502799887+5.56784387107175e-05i
0.048,-0.081,0.000651999853940028-0.00187537286237481i,0.000803317081740739+0i,0.00392318846161577-0.00169554212520944i,-0.00616766485132053-0.0019972538901535i,0.00235175401280813-0.00104328362052356i,0.00146501820209369-0.000585816768377238i,0.00137334205915738-0.00167206150733202i,-0.000128038450660685-0.000972654871725748i,-0.00523178351053733-0.000810020074777381i,-0.00472592789542839+0.000947728722929206i,0.00170595267215447+0.000205745866241353i
0.049,0.125,-0.000290060081149194-0.000793218109471564i,-4.76265696888995e-05-0.000328209654382091i,-0.00133870034259744+0.000572250452871757i,-0.00212379561470551-4.71067942733626e-05i,0.00240307290865684-0.00124047268363411i,-0.000807564562751175-0.000909216538720475i,-0.00265105404496684-0.00033105749158402i,-0.000100695331038038-0.000198540658581764i,-0.00496988331721921+0.000990006185108313i,-0.000628624157092448+0.000331442902014205i,0.00146105976339498+0.000164935713426941i
0.05,-0.121,0.000628736435269319-0.00232782252251849i,-6.31112412883238e-05-0.00126570526911012i,0.00097926127949651-0.00235825304732605i,-0.0210367389536338-0.00211359174492124i,0.000812115849824258+0.000552323573345823i,-0.000967787036529356+0.00187558613177775i,0.00700766513217381-0.00059793768658557i,0.00106064365148641+0i,-0.00771851962713732-0.00118816572295497i,-0.00639150845746854+0.000889129926724241i,0.000653097492738837+0i
0.05,0.049,-0.00011277517118057-0.001169811777793i,0.000485420785538162-0.000658201285883618i,-0.00171056580024379+0.000641418025967196i,0.0317481051901665-0.000611910341922083i,-0.00200972745667582-0.00174707874535824i,-0.00060623208774847-0.00134032472687464i,-0.00331598272697667-0.0005950444621232i,0.000644318536747105-0.000228273666208208i,0.00269407477968028-0.00116594086667188i,-0.00204796965811275-0.00191707179070486i,-0.00170832265760999-4.1206983244804e-06i
0.072,-0.098,0.000930676639061236-0.00227691469807424i,5.92281211503254e-05-0.00114721180803409i,0.00792513064548302-0.0029905742272584i,-0.0508496366299343-0.0032376246366768i,0.000599351807447653+0.00120941921128757i,-0.00114810185437766-0.000302621549964172i,-0.00392033809909336+0.00128225736897039i,-0.000495827529046529+0.000983569542152787i,0.00130949333955227+0.000982684061900322i,0.00839530248120833-0.000136963090631974i,-0.000566783877096675-0.000634569009038034i
0.076,0.124,-0.000674939966999115-0.00117132741939179i,9.17509577303321e-05-0.000581484518433712i,-0.0023874569292348-0.00096330433635098i,-0.0170254210245216+0.00178773295281527i,0.00535491708541538-0.00149246676136491i,-0.00031059029011173-0.00046583432770857i,-0.00104921487132767-9.0943278711035e-05i,-0.00030769713465448-0.000150698170196291i,-0.00254722759656755-0.000331121223104338i,-0.00160344417187356-0.000729993238449607i,0.00178872501531831+0.000414687021885312i
